Model,Convolution,Base,Weights,Trial,Seed,Set,Noise,LI,Level,Loss,Accuracy
RIB (N=2),Gabor,VGG16,None,1,42,contours,Uniform,9,0.9,20.96974182,0.09
RIB (N=2),Gabor,VGG16,None,1,42,contours,Uniform,10,1,31.34012032,0.1
RIB (N=2),Gabor,VGG16,None,1,42,contours,Salt and Pepper,0,0,49.48553085,0.22
RIB (N=2),Gabor,VGG16,None,1,42,contours,Salt and Pepper,1,0.1,37.42282867,0.11
RIB (N=2),Gabor,VGG16,None,1,42,contours,Salt and Pepper,2,0.2,38.64253998,0.09
RIB (N=2),Gabor,VGG16,None,1,42,contours,Salt and Pepper,3,0.3,45.91157532,0.09
RIB (N=2),Gabor,VGG16,None,1,42,contours,Salt and Pepper,4,0.4,61.79067993,0.09
RIB (N=2),Gabor,VGG16,None,1,42,contours,Salt and Pepper,5,0.5,70.24182129,0.1
RIB (N=2),Gabor,VGG16,None,1,42,contours,Salt and Pepper,6,0.6,82.45559692,0.1
RIB (N=2),Gabor,VGG16,None,1,42,contours,Salt and Pepper,7,0.7,92.22805786,0.1
RIB (N=2),Gabor,VGG16,None,1,42,contours,Salt and Pepper,8,0.8,107.3755875,0.1
RIB (N=2),Gabor,VGG16,None,1,42,contours,Salt and Pepper,9,0.9,101.098877,0.1
RIB (N=2),Gabor,VGG16,None,1,42,contours,Salt and Pepper,10,1,100.8245773,0.1
RIB (N=2),Gabor,VGG16,None,1,42,contours,High Pass,0,100,11.44578362,0.24
RIB (N=2),Gabor,VGG16,None,1,42,contours,High Pass,1,63.09573445,11.81404781,0.24
RIB (N=2),Gabor,VGG16,None,1,42,contours,High Pass,2,39.81071706,12.21892166,0.24
RIB (N=2),Gabor,VGG16,None,1,42,contours,High Pass,3,25.11886432,12.40689564,0.24
RIB (N=2),Gabor,VGG16,None,1,42,contours,High Pass,4,15.84893192,12.97998333,0.23
RIB (N=2),Gabor,VGG16,None,1,42,contours,High Pass,5,10,13.45538712,0.22
RIB (N=2),Gabor,VGG16,None,1,42,contours,High Pass,6,6.309573445,14.10901356,0.22
